year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2003,DMR North Central Division,Fitzgibbon Street,62202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",49
2003,DMR North Central Division,Fitzgibbon Street,62202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,43
2003,DMR North Central Division,Mountjoy,62203,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",104
2003,DMR North Central Division,Mountjoy,62203,04,Dangerous or negligent acts (04),Dangerous or negligent acts,108
2003,DMR North Central Division,Mountjoy,62203,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR North Central Division,Mountjoy,62203,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",50
2003,DMR North Central Division,Mountjoy,62203,07,Burglary and related offences (07),Burglary and related offences,285
2003,DMR North Central Division,Mountjoy,62203,08,Theft and related offences (08),Theft and related offences,1067
2003,DMR North Central Division,Mountjoy,62203,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",16
2003,DMR North Central Division,Mountjoy,62203,10,Controlled drug offences (10),Controlled drug offences,38
2003,DMR North Central Division,Mountjoy,62203,11,Weapons and explosives offences (11),Weapons and explosives offences,19
2003,DMR North Central Division,Mountjoy,62203,12,Damage to property and to the environment  offences (12),Damage to property & environment,485
2003,DMR North Central Division,Mountjoy,62203,13,Public order and other social code offences (13),Public order & social code offences,362
2003,DMR North Central Division,Mountjoy,62203,14,Road and traffic offences (14),Road and traffic offences,477
2003,DMR North Central Division,Mountjoy,62203,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",51
2003,DMR North Central Division,Mountjoy,62203,16,Offences not elsewhere classified (16),Offences not elsewhere classified,9
2003,DMR North Central Division,Store Street,62301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",214
2003,DMR North Central Division,Store Street,62301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,175
2003,DMR North Central Division,Store Street,62301,05,Kidnapping and related offences (05),Kidnapping and related offences,3
2003,DMR North Central Division,Store Street,62301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",114
2003,DMR North Central Division,Store Street,62301,07,Burglary and related offences (07),Burglary and related offences,313
2003,DMR North Central Division,Store Street,62301,08,Theft and related offences (08),Theft and related offences,5274
2003,DMR North Central Division,Store Street,62301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",98
2003,DMR North Central Division,Store Street,62301,10,Controlled drug offences (10),Controlled drug offences,182
2003,DMR North Central Division,Store Street,62301,11,Weapons and explosives offences (11),Weapons and explosives offences,79
2003,DMR North Central Division,Store Street,62301,12,Damage to property and to the environment  offences (12),Damage to property & environment,540
2003,DMR North Central Division,Store Street,62301,13,Public order and other social code offences (13),Public order & social code offences,3029
2003,DMR North Central Division,Store Street,62301,14,Road and traffic offences (14),Road and traffic offences,1937
2003,DMR North Central Division,Store Street,62301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",141
2003,DMR North Central Division,Store Street,62301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,60
2003,DMR North Division,Balbriggan,63101,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",39
2003,DMR North Division,Balbriggan,63101,04,Dangerous or negligent acts (04),Dangerous or negligent acts,111
2003,DMR North Division,Balbriggan,63101,05,Kidnapping and related offences (05),Kidnapping and related offences,2
2003,DMR North Division,Balbriggan,63101,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",2
2003,DMR North Division,Balbriggan,63101,07,Burglary and related offences (07),Burglary and related offences,62
2003,DMR North Division,Balbriggan,63101,08,Theft and related offences (08),Theft and related offences,133
2003,DMR North Division,Balbriggan,63101,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",5
2003,DMR North Division,Balbriggan,63101,10,Controlled drug offences (10),Controlled drug offences,10
2003,DMR North Division,Balbriggan,63101,11,Weapons and explosives offences (11),Weapons and explosives offences,10
2003,DMR North Division,Balbriggan,63101,12,Damage to property and to the environment  offences (12),Damage to property & environment,81
2003,DMR North Division,Balbriggan,63101,13,Public order and other social code offences (13),Public order & social code offences,133
2003,DMR North Division,Balbriggan,63101,14,Road and traffic offences (14),Road and traffic offences,177
2003,DMR North Division,Balbriggan,63101,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",8
2003,DMR North Division,Balbriggan,63101,16,Offences not elsewhere classified (16),Offences not elsewhere classified,0
2003,DMR North Division,Garristown,63102,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",1
2003,DMR North Division,Garristown,63102,04,Dangerous or negligent acts (04),Dangerous or negligent acts,6
2003,DMR North Division,Garristown,63102,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR North Division,Garristown,63102,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",0
2003,DMR North Division,Garristown,63102,07,Burglary and related offences (07),Burglary and related offences,18
2003,DMR North Division,Garristown,63102,08,Theft and related offences (08),Theft and related offences,17
2003,DMR North Division,Garristown,63102,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",0
2003,DMR North Division,Garristown,63102,10,Controlled drug offences (10),Controlled drug offences,0
2003,DMR North Division,Garristown,63102,11,Weapons and explosives offences (11),Weapons and explosives offences,0
2003,DMR North Division,Garristown,63102,12,Damage to property and to the environment  offences (12),Damage to property & environment,3
2003,DMR North Division,Garristown,63102,13,Public order and other social code offences (13),Public order & social code offences,1
2003,DMR North Division,Garristown,63102,14,Road and traffic offences (14),Road and traffic offences,3
2003,DMR North Division,Garristown,63102,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",1
2003,DMR North Division,Garristown,63102,16,Offences not elsewhere classified (16),Offences not elsewhere classified,0
2003,DMR North Division,Lusk,63103,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",36
2003,DMR North Division,Lusk,63103,04,Dangerous or negligent acts (04),Dangerous or negligent acts,56
2003,DMR North Division,Lusk,63103,05,Kidnapping and related offences (05),Kidnapping and related offences,0
